id,name,group,short_description,识别锚点,线条与造型,人物设计,色彩体系,上色与渲染,光影,分镜与版式,材质与表面,最适合题材,避免混淆,GPT_Image_2_5_核心提示词
61,彩铅漫画,绘画媒介与印刷漫画,细腻纸张纹理和柔和彩色线条，适合温暖生活题材。,纸纹、细密彩铅线、柔和暖色,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免无纹理数字渐变,漫画视觉体系：彩铅漫画。核心识别锚点：纸纹、细密彩铅线、柔和暖色。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免无纹理数字渐变。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
62,蜡笔漫画,绘画媒介与印刷漫画,粗糙颗粒、童趣笔触和不规则填色，风格天真活泼。,粗蜡笔颗粒、儿童涂画、不规则填色,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免精密写实,漫画视觉体系：蜡笔漫画。核心识别锚点：粗蜡笔颗粒、儿童涂画、不规则填色。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免精密写实。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
63,马克笔漫画,绘画媒介与印刷漫画,快速笔触、鲜亮色块和手绘草图感，适合时尚与速写叙事。,马克笔快速叠色、鲜亮时尚速写,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免厚重油画,漫画视觉体系：马克笔漫画。核心识别锚点：马克笔快速叠色、鲜亮时尚速写。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免厚重油画。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
64,钢笔速写漫画,绘画媒介与印刷漫画,以线条、排线和结构速写为主，黑白感强且富有作者性。,钢笔排线、黑白建筑观察、旅行速写,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免大面积数码平涂,漫画视觉体系：钢笔速写漫画。核心识别锚点：钢笔排线、黑白建筑观察、旅行速写。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免大面积数码平涂。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
65,木炭漫画,绘画媒介与印刷漫画,深黑灰阶、擦拭痕迹和粗粝阴影，适合强情绪和戏剧题材。,深黑灰阶、擦拭痕、木炭粉尘和粗粝情绪,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免清洁矢量线,漫画视觉体系：木炭漫画。核心识别锚点：深黑灰阶、擦拭痕、木炭粉尘和粗粝情绪。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免清洁矢量线。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
66,拼贴漫画,绘画媒介与印刷漫画,摄影、撕纸、文字、票据和手写元素混合，具有视觉日记和 Zine 感。,照片、撕纸、票据、手写、真实叠层,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免统一光滑画风,漫画视觉体系：拼贴漫画。核心识别锚点：照片、撕纸、票据、手写、真实叠层。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免统一光滑画风。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
67,纸雕漫画,绘画媒介与印刷漫画,多层纸张切割与立体阴影形成舞台般的分层空间。,多层纸片、切割边缘、真实投影,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免二维无层次,漫画视觉体系：纸雕漫画。核心识别锚点：多层纸片、切割边缘、真实投影。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免二维无层次。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
68,浮雕漫画,绘画媒介与印刷漫画,人物、气泡与场景像石雕或金属浮雕，庄严视觉与日常题材可形成反差喜剧。,石雕/金属浮雕、凿痕、碑刻框架,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免柔软绘本,漫画视觉体系：浮雕漫画。核心识别锚点：石雕/金属浮雕、凿痕、碑刻框架。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免柔软绘本。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
69,陶土漫画,绘画媒介与印刷漫画,角色和场景像黏土定格动画，体积圆润、质感手工。,黏土定格角色、指纹与手作表面、圆润体积,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免二维平涂,漫画视觉体系：陶土漫画。核心识别锚点：黏土定格角色、指纹与手作表面、圆润体积。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免二维平涂。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
70,毛毡漫画,绘画媒介与印刷漫画,毛毡与布艺质感突出，人物像手工玩偶，氛围温暖柔软。,毛毡纤维、缝线、布艺玩偶、暖软阴影,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免硬金属质感,漫画视觉体系：毛毡漫画。核心识别锚点：毛毡纤维、缝线、布艺玩偶、暖软阴影。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免硬金属质感。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
71,剪纸漫画,绘画媒介与印刷漫画,强轮廓、平面块面和装饰纹样，适合东方或民俗主题。,强剪影、平面层叠、民俗剪纸纹样,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免体积厚涂,漫画视觉体系：剪纸漫画。核心识别锚点：强剪影、平面层叠、民俗剪纸纹样。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免体积厚涂。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
72,版画漫画,绘画媒介与印刷漫画,木刻、铜版或丝网印刷式肌理，强调黑白关系和人工印刷痕迹。,刻线、交叉排线、油墨压印、高黑白对比,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免数字柔光,漫画视觉体系：版画漫画。核心识别锚点：刻线、交叉排线、油墨压印、高黑白对比。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免数字柔光。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
73,Risograph 漫画,绘画媒介与印刷漫画,2–4种专色、错版、颗粒和纸张感明显，具有独立出版物气质。,2–4专色、孔版颗粒、套印错位、独立出版,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免全彩渐变,漫画视觉体系：Risograph 漫画。核心识别锚点：2–4专色、孔版颗粒、套印错位、独立出版。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免全彩渐变。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
74,丝网印刷漫画,绘画媒介与印刷漫画,大色块、半调网点、套印错位和油墨质感，画面平面冲击强。,3–5专色、大色块、半调网点、丝网油墨,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免细腻摄影渐变,漫画视觉体系：丝网印刷漫画。核心识别锚点：3–5专色、大色块、半调网点、丝网油墨。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免细腻摄影渐变。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
75,Newspaper Comic,绘画媒介与印刷漫画,报纸纸张、黑色网点和有限色彩，具有大众印刷连环漫画感。,新闻纸纸色、黑网点、有限综合色彩,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免现代高饱和数码,漫画视觉体系：Newspaper Comic。核心识别锚点：新闻纸纸色、黑网点、有限综合色彩。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免现代高饱和数码。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
76,Zine Comic,绘画媒介与印刷漫画,自由排版、手工装订感和作者性强，适合实验短篇。,DIY手写、胶带、照片、自由拼贴,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免商业统一网格,漫画视觉体系：Zine Comic。核心识别锚点：DIY手写、胶带、照片、自由拼贴。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免商业统一网格。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
77,Punk Zine Comic,绘画媒介与印刷漫画,复印噪点、撕纸、涂鸦、胶带和粗暴文字，带地下文化气质。,黑白复印、撕纸、红黑涂鸦、朋克地下乐队,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免高端杂志精致感,漫画视觉体系：Punk Zine Comic。核心识别锚点：黑白复印、撕纸、红黑涂鸦、朋克地下乐队。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免高端杂志精致感。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
78,Xerox Comic,绘画媒介与印刷漫画,黑白复印机噪点、失真边缘和高对比，廉价又有强烈个性。,极端黑白复印、失真边缘、曝光过度和噪点,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免干净矢量,漫画视觉体系：Xerox Comic。核心识别锚点：极端黑白复印、失真边缘、曝光过度和噪点。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免干净矢量。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
79,Letterpress Comic,绘画媒介与印刷漫画,活版印刷压痕、有限颜色和纸张纤维，具有复古工艺感。,活版压痕、纸纤维、2–3传统墨色,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免霓虹和照片级光效,漫画视觉体系：Letterpress Comic。核心识别锚点：活版压痕、纸纤维、2–3传统墨色。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免霓虹和照片级光效。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
80,Vintage Magazine Comic,绘画媒介与印刷漫画,老杂志色偏、网点和复古字体，让漫画像旧出版物。,旧杂志色偏、网点、复古广告字体、旅游浪漫,边缘必须服从真实媒介,角色造型和表演必须服务该类型；不要只换滤镜或背景。,综合色彩遵守媒介限制,优先表现材料本身，不要被光滑数码感覆盖,光影服从题材和类型；关键镜头强化视觉焦点。,分格与材料结构结合,纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心,选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材,避免现代无纹理极简,漫画视觉体系：Vintage Magazine Comic。核心识别锚点：旧杂志色偏、网点、复古广告字体、旅游浪漫。线条与造型：边缘必须服从真实媒介。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：综合色彩遵守媒介限制。上色/渲染：优先表现材料本身，不要被光滑数码感覆盖。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：分格与材料结构结合。材质：纸纤维、颜料颗粒、错版、压痕、撕纸或手工表面是核心。题材建议：选择能展示材料触感的日常、旅行、童话、音乐、历史或手工题材。风格区分：避免现代无纹理极简。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
81,Pop Art Comic,现代艺术流派漫画,Ben-Day 网点、纯色、巨大对白和商品化图形语言，视觉极醒目。,Ben-Day网点、商品符号、巨大拟声词、纯色,线条和空间服从对应艺术运动,角色造型和表演必须服务该类型；不要只换滤镜或背景。,使用该流派最典型的色彩关系,让艺术构成真正作用于人物和场景,光影服从题材和类型；关键镜头强化视觉焦点。,文字、面板和主体共同服从统一构成,保留涂鸦、拼贴、印刷或绘画痕迹,选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角,避免自然综合色调,漫画视觉体系：Pop Art Comic。核心识别锚点：Ben-Day网点、商品符号、巨大拟声词、纯色。线条与造型：线条和空间服从对应艺术运动。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：使用该流派最典型的色彩关系。上色/渲染：让艺术构成真正作用于人物和场景。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：文字、面板和主体共同服从统一构成。材质：保留涂鸦、拼贴、印刷或绘画痕迹。题材建议：选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角。风格区分：避免自然综合色调。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
82,Editorial Comic,现代艺术流派漫画,漫画分镜与杂志版式融合，文字、图片、留白共同参与构图。,杂志排版、大留白、巨字、摄影/插画混排,线条和空间服从对应艺术运动,角色造型和表演必须服务该类型；不要只换滤镜或背景。,使用该流派最典型的色彩关系,让艺术构成真正作用于人物和场景,光影服从题材和类型；关键镜头强化视觉焦点。,文字、面板和主体共同服从统一构成,保留涂鸦、拼贴、印刷或绘画痕迹,选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角,避免传统满格,漫画视觉体系：Editorial Comic。核心识别锚点：杂志排版、大留白、巨字、摄影/插画混排。线条与造型：线条和空间服从对应艺术运动。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：使用该流派最典型的色彩关系。上色/渲染：让艺术构成真正作用于人物和场景。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：文字、面板和主体共同服从统一构成。材质：保留涂鸦、拼贴、印刷或绘画痕迹。题材建议：选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角。风格区分：避免传统满格。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
